key,context,en,ja,zh,
speed,Speed Point,Speed,スピードポイント,,
stone,,Stone,石,石,
stone pack,,Stone Pack,石パック,石包,
store,,Official Store,公式ショップ,官方商店,
store_read_more,,Read more: About the Presale you should know,プレセールで買うメリットとは？,,
store_read_more_link,,https://www.cubego.io/guide#presale,https://www.cubego.io/guide#presale,,
store_tip_link,,https://www.cubego.io/guide,https://www.cubego.io/guide,,"If they want to restrict access to their pages, privacy controls are available."
store_tip_note,,Game Intro: Learn how cubes affect your characters,ヒント：キューブがキューブゴンに与える影響,,restrict the sale/supply/use of sth Georgia is one of 22 states that restrict the sale of raw milk for human consumption.
store.hightlight_note,,Epic and Rare Cubegoes are only available during the Presale,エピック、レアキューブはプレセール期間のみの販売となります。,,
strength,,Strength,強さ,优势,
strength required,,Strength Required,必要な強さ,要求的力量,
submit_cubegon,,Submit Cubegon,キューブゴンを登録する,,
submit_cubegon_note,,You have to submit your cubegon to our server for verification first. Then you can create it onto the blockchain.,キューブゴンはまずサーバーに登録されます。その後ブロックチェーン上の登録にうつります。,,
submitting_cube,,Submitting Cubegon,キューブゴン登録中,,
subscribe,,Subscribe,登録する,订阅,
subscribe_us,,Subsribe for updates and offers!,登録して最新情報を手に入れよう！,订阅以获得更新和优惠！,
success_response,,Thanks! We will keep you updated.,登録ありがとうございます！<br/>下のボタンをクリックして必要なソフトをインストールしましょう！,谢谢！ 有任何消息会知悉您的。,
tagline,,The CUBE that creates LEGENDS ,キューブで伝説を創り上げよう,创建传奇的CUBE,
take a picture,,Take a picture,モデルをエクスポート,,
team_members_sub_title,, , , ,
template,,Templates,テンプレート,模板,
template file is invalid,,Template file is invalid,テンプレートファイルがありません。,,
term_service_policy,,I agree to the <a href='/tos' target='_blank'>Terms of Sale</a> and <a href='/privacy' target='_blank'>Privacy Policy<a>,<a href='/tos' target='_blank'>販売規則</a>と<a href='/privacy' target='_blank'>個人情報保護</a>に関する方針について同意してください,我同意<a href='/tos' target='_blank'>销售条款</a>和<a href='/privacy'target='_blank'>隐私政策<a>,
tier,Cubegon's tier,Tier,格,级,
tiers,,Tiers,格と素材のレア度,级别,
tiers_types_cubegoes,,Tiers and Attributes of Cubegoes,キューブの効果と格,Cubegoes的级别和属性,
to purchase,,To Purchase,購入する,购买,
token_id,,Token ID,トークンID,,
top_up_energy,,Top Up Energy,エナジーを補充,充值能量,
total,,Total,合計,总共,
total,,Total,合計,总共,
total cubes,,Total Cubes,キューブ合計,总共Cubego,
total emont refund,,Total EMONT Refund,合計EMONT払い戻し,,
total eth refund,,Total ETH Refund,合計ETH払い戻し,,
total price,,Total Price,合計金額,总价,
total_cubego,,Total Cubego,キューブ合計,总Cubego,
total_cubegoes,,Cubegoes,キューブ,,
total_stats,,Stats,勝敗,总统计数据,
trade_cubegon,,Trade and Gain values,売買して収益を上げる,,
trading,,Trading,トレードする,贸易,
transaction,,Transaction,トランザクション,거래,交易
transfer,,Transfer,移動,,
transfer_cubego,,Transfer Cubego,キューブを移動,,
transfer_cubego_done,,Your Cubegoes are being transferred,メールアドレス,您的邮箱地址,
transfer_cubego_note,,"After transferring, you won't be able to get your Cubego back",キューブゴンを移動してしまったら取り戻す事は出来ません。,,
transfer_cubegon,,Transfer Cubegon,キューブゴンを移動する,,
transfer_cubegon_done,,"You cubegon is being transferred. It may take a while, depends on the network.",キューブゴンが転送されました。ブロックチェーンネットワークの状態によって所要時間が変動する場合があります。,,
transfer_cubegon_note,,Are you sure? Your cubegon will miss you so much.,キューブゴンを移動しますか？少し寂しそう…,,
transferring_cubego,,Transferring Cubego,キューブ転送中,,
transferring_cubegon,,Transferring Cubegon,キューブゴン移動中,,
tutorial,,Character Building Guide,キャラクター製作方法,,
tutorial.color,,Sub-materials,色,,
tutorial.estimated_stats,,Cubegon Estimated Stats,予想能力値,,
tutorial.material,,Materials,素材,,
tutorial.template,,Cubegon Template,キューブゴンテンプレート,,
tutorial.tier,,Cubegon Tiers,キューブゴンの格,,
tutorial.title,,Knowing these basics will help you in creating your characters.,これら基礎知識はキューブゴン製作に欠かせません,,
tutorial.type,,Cubegon Types,キューブゴンのタイプ,,
txn_data,,Transaction Data,トランザクションデータ,거래 정보,交易数据
txn_hash,,Transaction Hash,トランザクションハッシュ,거래 해시,交易散列
txn_submitting_note,,A popup with transaction details will show up. Please complete it and come back here!,トランザクションの承認を求めるポップアップが出てきます。完了しましたらまた戻ってきてください！,,
txn.etherscan,,Check on EtherScan,EtherScanで確認,이더 스캔 확인,查对EtherScan
txn.message_to_sign,,Message to Sign,署名用にメッセージを送る,,
txn.signature_desc,,You need to sign the message above at <a href='https://www.myetherwallet.com/signmsg.html' target='_blank'>MyEtherWallet</a> (<a href='https://medium.com/cubego/ff5f32516192#6b9d' target='_blank'>What is signature?</a>),上記メッセージに署名する必要があります。 <a href='https://www.myetherwallet.com/signmsg.html' target='_blank'>MyEtherWallet</a> (<a href='https://medium.com/cubego/%E3%82%AD%E3%83%A5%E3%83%BC%E3%83%96%E3%82%B4%E3%83%BC%E3%82%92%E5%A7%8B%E3%82%81%E3%82%88%E3%81%86-ee1d66159a00#6b9d' target='_blank'>署名とは？</a>),,
txn.signature_placeholder,,Copy the 'sig' field and paste here,署名欄をコピーして貼り付けてください,,
type,,Type,タイプ,类型,
types,,Types,タイプ,类型,
ultimate pack,,Ultimate Pack,ウルトラパック,终极包,
undo,,Undo,元に戻す,撤消,
uniqueness,,Uniqueness,独自性,独特性,
unlock_metamask,,Unlock Metamask,メタマスクを解除,解锁Metamask,
update,,Update,更新する,更新,
update_cubegon,,Update Cubegon,キューブゴンを更新,,
username,,Username,ユーザー名,用户名,
value_of_synergies,,Value Of Synergies,シナジー効果,协同作用的价值,
view_on_battle,,View in Battle,バトルシーンを見る,,
wallet,,Wallet,ウォレット,钱包,
watch battle,,Watch Battle,バトルを観戦する,观看战斗,
water,,Water,水,水,
welcome_to_cubego,,Welcome To Cubego,Cubegoの世界へ <br>ようこそ,欢迎来到Cubego,
what_is_cubego,,What is CUBEGO?,キューブゴーってどんなゲーム？,什么是CUBEGO？,
what_next,,What’s next,開発計画,下一步是什么,
why_joining_cubego_presale_header,,About Cubego Presale,キューブゴーのプレセールについて,,
why_presale,,Join presale,プレセールに参加する,,
why_presale_header,,Why Joining Presale,プレセールに参加するメリット,,
win,,Win,勝利,胜利,
win rate,,Win Rate,勝率,,
win_rate,,Win Rate,勝率,赢率,
wins,,Wins,勝利数,,
wood,,Wood,木,木,
you_dont_have_cubego,,You don't have any Cubego,キューブをまだ持っていません,,
you_dont_have_cubegon,,You don't have any Cubegon,キューブゴンをまだ創っていません,,
Your information is updated!,,"You have successfully registered. We will keep you updated about the PRESALE! Meanwhile, join our referral event above for the awesome bonus.","あなたの情報が更新され、プレセールの最新情報が届くようになりました。
お友達を紹介してボーナスがもらえるリファラルイベントに参加しませんか？
是非チェックしてみて下さい！",您已经成功注册。我们会及时向您通报预售！同时，加入我们的推荐活动，获得惊人的奖金。,
